,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
337,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-27,1364.0368,1362.9473,1361.0099,1400.3773,1397.7685,832301800,39612624259,33.7317,0.024729
338,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-28,1397.7685,1395.4269,1381.4536,1414.6095,1386.0385,2156509900,44217151419,-11.73,-0.008392
339,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-31,1386.0385,1398.1925,1398.1925,1442.6682,1442.6682,1637629600,47689304716,56.6297,0.040857
340,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-01,1442.6682,1437.317,1432.9668,1467.9398,1460.5432,1590498200,52542498096,17.875,0.01239
341,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-02,1460.5432,1461.7363,1423.4526,1465.1601,1426.8466,1439587100,51265799614,-33.6966,-0.023071
342,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-03,1426.8466,1425.7959,1410.1209,1438.6404,1414.5342,1144159600,41140115339,-12.3124,-0.008629
343,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-04,1414.5342,1406.3145,1405.5064,1445.1442,1431.522,1000022100,38867525998,16.9878,0.012009
344,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-07,1431.522,1443.8616,1425.1148,1451.3862,1433.565,1042018200,42593187431,2.043,0.001427
345,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-08,1433.565,1443.7446,1411.2287,1446.3779,1419.0751,949082600,44630369656,-14.4899,-0.010108
346,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-09,1419.0751,1420.3062,1417.7675,1442.1619,1427.321,826421800,38843313291,8.2459,0.005811
347,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-10,1427.321,1427.8708,1426.4914,1455.8284,1450.4038,1010267400,44182355496,23.0828,0.016172
348,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-11,1450.4038,1453.5999,1433.0607,1455.6558,1436.2754,1068327300,50396679240,-14.1284,-0.009741
349,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-15,1436.2754,1442.0868,1435.0533,1467.4683,1448.2004,1007106400,45159091638,11.925,0.008303
350,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-16,1448.2004,1452.9459,1404.689,1454.9208,1406.4701,853938700,40793261350,-41.7303,-0.028815
351,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-17,1406.4701,1409.0464,1409.0464,1477.049,1473.5119,1190865400,50681775516,67.0418,0.047667
352,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-18,1473.5119,1475.2089,1474.6843,1499.8239,1494.7009,1006107400,49393830003,21.189,0.01438
353,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-21,1494.7009,1485.66,1482.4864,1529.2843,1528.1267,1021950500,51327326484,33.4258,0.022363
354,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-22,1528.1267,1531.5201,1506.3066,1534.4254,1523.3628,1970793800,52742259842,-4.7639,-0.003117
355,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-23,1523.3628,1530.6356,1516.6888,1551.9191,1534.3008,1603483300,60476807451,10.938,0.00718
356,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-24,1534.3008,1531.2377,1496.9428,1537.5767,1504.8079,1407009300,52396247766,-29.4929,-0.019222
357,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-25,1504.8079,1505.2867,1502.8909,1536.504,1534.8494,1085445200,50140701684,30.0415,0.019964
